caption	url	Visible	Subjective	Action	Story	Meta	Irrelevant	Other	When	How	Where	Comment
a closer look at the closet .	https://s-media-cache-ak0.pinimg.com/736x/79/7e/68/797e68379af9229dabfede3af5e5c4a4.jpg	1	0	0	1	1	0	0	0	1	1	
image may contain : person , on stage , playing a musical instrument and outdoor	http://l7.alamy.com/zooms/2170b1e5924d41be92df3bd105fe0709/kevin-and-melanie-knapp-sturminster-newton-this-event-was-originally-j357k5.jpg	0	0	0	1	1	0	0	0	1	0	
person with a large spoon	https://cdn.shopify.com/s/files/1/1377/7843/files/Kim_at_the_lathe_with_roughed_out_bowls_large.jpg?v=1476786434	0	0	0	0	0	1	0	0	0	0	junk
bedroom with a double bed	https://st.hzcdn.com/fimgs/9e61c1f202cf212a_6836-w500-h400-b0-p0--.jpg	1	0	0	0	0	0	0	0	0	0	
olympic athlete competes on the balance beam during day .	https://media.gettyimages.com/photos/son-yeon-jae-of-south-korea-waves-to-the-crowd-after-her-performance-picture-id592632666	1	0	0	0	1	0	0	1	0	0	
spider on a black background	https://previews.123rf.com/images/lnpdm/lnpdm1211/lnpdm121100072/16151016-the-spider-and-the-whole-world-of-spiders-are-known-to-have-350000-kinds-china-s-records-about-1000--Stock-Photo.jpg	1	0	0	0	0	0	0	0	0	0	
the eye of the god	https://tecake.in/wp-content/uploads/2016/12/4-1.jpg	0	0	0	1	0	0	0	0	0	0	
chair made from an old sweater .	https://i.pinimg.com/736x/5b/3a/3b/5b3a3b7ce2452c3b5dbe9ca081da17b6--teen-bedroom-chairs-dorm-room-chairs.jpg	1	0	0	1	0	0	0	0	0	0	
road sign on the streets	https://media.istockphoto.com/photos/road-sign-on-the-streets-of-miami-picture-id685150972?k=6&m=685150972&s=612x612&w=0&h=2noNx9XWWSMcBXRmiNShhoY6nCBKmeQRgLrDjv5I6Wk=	1	0	0	0	0	0	0	0	0	0	
airliner is seen on the tarmac .	http://www.dubairealcity.com/news/photos/emirates-goes-all-a380-on-london-flights.jpg	1	0	0	0	1	0	0	0	1	1	
picture of a polar bear	http://science.psu.edu/alert/photos/research-photos/biology/SchusterMillerPolarBearatrestFWS.jpg	1	0	0	0	0	0	0	0	0	0	
young woman with umbrella in the rain	http://c8.alamy.com/comp/E36MET/young-girl-in-rain-wearing-a-green-raincoat-and-holding-a-red-umbrella-E36MET.jpg	1	0	0	0	0	0	0	0	0	0	
wedding dresses under the trees	https://i.pinimg.com/736x/5a/5f/93/5a5f93171d9e3234937724700e688b54--bride-portrait-heart-photography.jpg	1	0	0	0	0	0	0	0	0	0	
interior view of the world	http://l7.alamy.com/zooms/448c51bba5fc4cccbdce82f2f38d298d/london-united-kingdom-a-model-of-an-english-steam-engine-in-the-science-d4p6h5.jpg	1	0	0	0	1	0	0	0	1	1	
the equestrian statue of military commander	http://l7.alamy.com/zooms/da14d564338744b3ae3c9d5590080949/the-bronze-equestrian-statue-of-marcus-aurelius-on-the-capitoline-b7xw9r.jpg	1	0	0	0	0	0	0	0	0	0	
a model presents a creation by person .	https://ak2.picdn.net/shutterstock/videos/33382252/thumb/1.jpg?i10c=img.resize(height:160)	1	0	0	0	0	0	0	0	0	0	
a healthy salad for lunch .	http://www.ikea.com/ms/media/roomsettings/ideas/20163/201630_idki02a/201630_idki02a_hs04_PH133304.jpg	1	0	0	1	1	0	0	1	0	0	
a cat hiding under a fallen tree	https://static1.squarespace.com/static/52d2f284e4b061d68ce117be/52d2f9b2e4b01c3af4a07196/58e9fb665149bf1147bf7d95/1491729259686/	0	0	0	0	0	1	0	0	0	0	
celebrity and martial artist present an award during ceremony	https://media.gettyimages.com/photos/ariadne-daz-speaks-on-stage-during-the-mtv-millennial-awards-2014-at-picture-id453553516?s=612x612	1	0	1	0	1	0	0	1	0	0	
life cycle of a butterfly	http://slideplayer.com/4903183/16/images/31/Cooperation+As+energy+and+other+resources+are+limiting%2C+many+organisms+have+evolved+cooperation+as+a+means+of+survival..jpg	0	0	0	0	0	1	0	0	0	0	
greeting card featuring the photograph	http://www.freakingnews.com/pictures/28000/Bridge-Coming-out-of-a-Photo--28035.jpg	1	0	0	0	0	0	0	0	0	0	
person in the long jump .	https://static2.stuff.co.nz/1395097735/340/9840340.jpg	1	0	0	0	0	0	0	0	0	0	
window of an old house	https://nopainnogainj2013.files.wordpress.com/2013/01/img_1782.jpg	1	0	0	0	0	0	0	0	0	0	
a scene from the film	https://i.pinimg.com/736x/dc/ff/6c/dcff6cb5d7559ea22a1cbc47680c9fe0--love-it-motivation.jpg	0	0	0	0	0	0	1	0	0	0	junk/text
mangrove trees in the tropics	http://www.goodwp.com/images/201108/goodwp.com_19606.jpg	1	0	0	0	1	0	0	0	1	0	
abstract background with a geometric design	https://thumb9.shutterstock.com/display_pic_with_logo/195/707885992/stock-vector-abstract-background-with-a-geometric-design-707885992.jpg	1	0	0	0	0	0	0	0	0	0	
magazine featuring football player on the cover .	https://s-media-cache-ak0.pinimg.com/originals/0f/0b/27/0f0b276ffb7d1250987db2731a0be0c7.jpg	1	0	0	0	0	0	1	0	0	0	text relevant
forbidden sign with an arrow .	https://thumb10.shutterstock.com/display_pic_with_logo/4075588/623702513/stock-vector-vector-linear-image-of-two-arrows-sticking-out-of-a-target-a-flat-line-icon-623702513.jpg	1	0	0	0	0	0	1	0	0	0	not sure if forbidden sign but i guess true
bathroom on the ground floor	https://odis.homeaway.com/odis/listing/04a2ab9f-0ea4-4cbb-90e1-1da99342475e.c10.jpg	1	0	0	0	1	0	0	0	1	0	
sunflower seeds on a white background	https://media.istockphoto.com/photos/black-sesame-seeds-on-a-white-background-picture-id486925416?k=6&m=486925416&s=612x612&w=0&h=qLsvnod77hPULdoPGVddJl90AxRYXOUmRUKtqsuD9r8=	1	0	0	0	0	0	0	0	0	0	
the uniform of military commander .	https://www.denverpost.com/wp-content/uploads/2017/08/cdxxcopmuseum_11636512.jpg?w=620	1	0	0	0	0	0	0	0	0	0	
duvet cover featuring the painting by person	https://s-media-cache-ak0.pinimg.com/736x/ff/be/c9/ffbec9c114b33297e583e1a7d54eba36.jpg	0	0	0	0	0	1	0	0	0	0	junk
greeting card featuring the digital art by person	https://i.pinimg.com/736x/46/99/57/4699572982a9d6e9693b153482e0cb68--nancy-greeting-card.jpg	1	0	0	0	0	0	1	0	0	0	text relevant
hands typing on a computer keyboard	https://ak5.picdn.net/shutterstock/videos/21148795/thumb/1.jpg	1	0	1	0	0	0	0	0	0	0	
person in tights at a gym	http://www.gotceleb.com/wp-content/uploads/photos/alessandra-ambrosio/leaving-traci-anderson-gym-in-brentwood/Alessandra-Ambrosio-in-Tights-and-Sports-Bra--04-662x993.jpg	1	0	0	0	1	0	0	0	1	0	
person as a child with his father	http://i.dailymail.co.uk/i/pix/2017/12/01/21/46BF2A9E00000578-5137911-image-m-2_1512164489835.jpg	1	0	0	1	0	0	0	0	0	0	
young people dancing at a party	http://l7.alamy.com/zooms/207a5316f88649058a77a755ea2459c3/back-view-of-audience-at-a-music-festival-f09hww.jpg	1	0	1	0	1	0	0	0	1	0	
football player before the match	http://l7.alamy.com/zooms/cae6c75d45924a20a9e4bb6d7d668916/munichs-head-coach-jupp-heynckes-before-the-german-bundesliga-match-d61pa1.jpg	0	0	0	0	0	1	0	0	0	0	
christmas tree in a box	https://d3v7qf8zyypult.cloudfront.net/mnr/en/images/2016-12-01/large/b04c5d0789ae8b75dd3ad7adfe893889.jpg	0	0	0	0	0	1	0	0	0	0	
young couple hiking in the mountains	https://media.istockphoto.com/photos/assistance-during-the-hiking-on-mountain-picture-id181881148?k=6&m=181881148&s=612x612&w=0&h=w8Zw4zXKzFHfzWG2RZa-Y8bydKs4TqZoCk6pHC6Z9TA=	1	0	1	0	1	0	0	0	1	0	
a city on the shores	http://i.dailymail.co.uk/i/pix/2016/06/02/09/34D82F5D00000578-0-image-a-14_1464856860978.jpg	1	0	0	0	1	0	0	0	1	0	
dark brown with a hint of red	https://s-media-cache-ak0.pinimg.com/originals/67/3d/d1/673dd1dc419da884b06afe04fb3b8ac9.jpg	1	0	0	0	0	0	0	0	0	0	
silhouette of a young woman	http://samchuppmedia.com/wp-content/uploads/2015/05/16618905772_30c9f36a94_z.jpg	1	0	0	0	1	0	0	0	0	1	
elderly woman reading a book in her bedroom	https://ak7.picdn.net/shutterstock/videos/23063797/thumb/1.jpg	1	0	1	0	1	0	0	0	1	0	
light trails on a highway	http://l7.alamy.com/zooms/622b2ea8915b41d4b4f59a8e29c87f72/light-trails-on-the-road-e8cy98.jpg	1	0	0	0	0	0	0	0	0	0	
pop rock artist performs on stage	https://media.gettyimages.com/photos/adele-with-her-global-success-award-on-stage-at-the-brit-awards-2016-picture-id512087470?s=612x612	1	0	1	0	1	0	0	0	1	0	
a crowd gathers to watch the fireworks display .	https://s3-eu-west-1.amazonaws.com/evokeuploads/2015/11/e4.jpg	0	0	0	0	0	1	0	0	0	0	junk
musical group , known as person , performs	http://l7.alamy.com/zooms/0aaed1dc225a4ef5830f52ef9b7ee54d/the-band-at-the-santa-claus-parade-in-denmark-klampenborg-bakken-b2d574.jpg	1	0	1	1	0	0	0	0	0	0	
players walk to the field .	https://www.gannett-cdn.com/-mm-/769ad15d7d780d9aaa9e1f5462ef74045bc83c13/c=1-0-959-720&r=x408&c=540x405/local/-/media/2017/07/26/TennGroup/Clarksville/636366793338942130-all-teams-2.jpg	0	0	0	0	0	1	0	0	0	0	
rural life in a village	http://l7.alamy.com/zooms/17c8e546b0bf4f2288634d7b380f2770/zebu-brahman-cow-by-the-railway-line-in-a-village-mandalay-to-pyin-dt2eb4.jpg	1	0	0	1	1	0	0	0	1	0	
actors in a scene from the movie	http://l7.alamy.com/zooms/d2fb9cef71114985ab38717429014dc1/the-actors-eli-macgraw-and-ryan-oneal-in-a-scene-from-the-movie-love-f50tfk.jpg	1	0	0	1	1	0	0	0	0	1	
a child plays on the beach .	http://78.media.tumblr.com/4be35d48770ce51fcaa8dc295b4d5d68/tumblr_nsvhbxWbWA1uwm12go1_1280.jpg	0	0	0	0	0	1	0	0	0	0	
a woman praying to deity .	http://www.21st-century-christianity.com/images/healing-For-Today-1-3.jpg	1	0	1	0	0	0	1	0	0	0	kind of true?
coconut palms on the beach	http://www.thetravelchica.com/wp-content/uploads/2013/03/our-own-private-beach-in-mexico.jpg	1	0	0	0	1	0	0	0	1	0	
handmade jewellery by person .	https://i.pinimg.com/736x/51/b0/63/51b0638f23222b6dac4148e8dea64227--titanium-rings-tungsten-rings.jpg	1	0	0	1	0	0	0	0	0	0	
a bouquet of fresh flowers single icon in cartoon style for design .	https://us.123rf.com/450wm/artnis/artnis1404/artnis140400036/27685779-spring-background-delicate-pink-flowers-on-a-vintage-background-hyacinth-in-a-pot-can-be-used-for-gr.jpg?ver=6	1	0	0	0	0	0	1	0	0	0	text relevant
a single room with shared bathroom .	https://odis.homeaway.com/odis/listing/650b6691-7d3a-4ed0-948c-557b50ce906f.c10.jpg	1	0	0	1	0	0	0	0	0	0	
high - rise buildings in the city	https://ak2.picdn.net/shutterstock/videos/31588312/thumb/1.jpg	1	0	0	0	0	0	0	0	0	0	
day of the dead face paint	https://i.pinimg.com/736x/77/62/f0/7762f0e04722ea08fe612e7bec522532--skull-face-paint-costume-makeup.jpg	1	0	0	0	0	0	1	0	0	0	text relevant
side view of the cottage	http://harridecltd.com/wp-content/uploads/2013/10/7-porch-is-clad-in-timber.jpg	1	0	0	0	1	0	0	0	0	1	
a city for a modern lifestyle	https://i.pinimg.com/736x/bb/c1/7b/bbc17b23f35cf9dd298bf10a4e6842ec--shop-ideas-house-design.jpg	0	1	0	1	1	0	0	0	1	0	
an illustration for the story	http://c8.alamy.com/comp/B0KH8A/page-of-illustrated-text-from-the-luttrell-psalter-c1300-c1340-c1900-B0KH8A.jpg	0	0	0	0	0	1	0	0	0	0	junk
a city for sale property .	https://server.propctrl.com/Image.ashx?Id=79715c92-e795-4304-b5b0-99244824c4a8&userId=9917	0	0	0	1	1	0	0	0	1	0	
man sitting on a bench	http://c8.alamy.com/comp/D048W6/a-sad-man-sits-on-a-bench-next-to-a-weeping-willow-tree-D048W6.jpg	1	0	1	0	0	0	0	0	0	0	
hands of an old woman sitting at the table in the cafe	https://media.istockphoto.com/photos/male-hands-writes-with-a-feather-on-vintage-paper-picture-id658122336?k=6&m=658122336&s=612x612&w=0&h=Jqx_IBiCou_APr08JQXiSVIE7FChxLaEJhtj_neMuKI=	1	0	0	0	1	0	0	0	1	0	
industry in the form of a bathroom sink	https://i.pinimg.com/736x/2c/7c/8f/2c7c8ff97b969ee47dd5e90e37ac80e8--modern-bathroom-sink-modern-sink.jpg	1	0	0	1	0	0	0	0	0	0	
a room with a view	https://i.pinimg.com/736x/1e/64/96/1e64969e4d495890c5507c4973b3647c--outdoor-couch-outdoor-living.jpg	0	0	0	0	0	1	0	0	0	0	
close up of a rock formation	http://l7.alamy.com/zooms/8a3a440ea22e42b4b3b904372c23b593/red-aswan-granite-used-in-the-temples-at-giza-egypt-fw7c8x.jpg	1	0	0	0	0	0	0	0	0	0	
the many faces of person	https://i.pinimg.com/736x/44/49/b1/4449b1761a43e13b262e9bb4919385be.jpg	1	0	0	0	0	0	0	0	0	0	
a walk down the streets	https://www.worldtripdiaries.com/wp-content/uploads/cartagena-colombia-world-trip-diaries-16.jpg	1	0	0	1	0	0	0	0	0	0	
nail art # : magnetic designs for fascinating ladies .	https://s-media-cache-ak0.pinimg.com/originals/16/29/4a/16294aca48070c5ce741a61e3bb15587.jpg	1	1	0	1	0	0	0	0	0	0	
bedding for a baby girl	https://i.pinimg.com/736x/99/a0/92/99a0920467495fc22b8bea63e0f66889--purple-baby-bedding-baby-girl-bedding-sets.jpg	1	0	0	1	0	0	0	0	0	0	
the living room of the home .	http://chekin.s3.amazonaws.com/photos/620/sb_lounge_tent_2__details_page_1.jpg	1	0	0	1	1	0	0	0	1	0	
children playing the piano at home	http://i.dailymail.co.uk/i/pix/2016/07/17/22/365D62CB00000578-3694700-image-a-89_1468790716529.jpg	1	0	1	0	1	0	0	0	1	0	
digital art selected for the #	https://cdn3.bigcommerce.com/s-f3uc4rdi7x/images/stencil/500x659/products/163/2635/806559422313-2__86663.1510240885.jpg?c=2	0	0	0	0	0	1	0	0	0	0	junk
fashion of the ####s and ####s	https://i.pinimg.com/736x/bd/21/7b/bd217b4d4e616024bca055060ce2d50a--dior-wedding-dresses-wedding-dress-patterns.jpg	0	0	0	1	1	0	0	1	0	0	
a skier jumps from a ramp , spins in mid air before landing successfully on snow	https://ak2.picdn.net/shutterstock/videos/8300512/thumb/1.jpg	0	0	1	1	0	0	0	0	0	0	
foggy morning in the area	http://c8.alamy.com/comp/JRCAEN/looking-through-a-misty-window-with-raindrops-at-a-park-bench-with-JRCAEN.jpg	1	0	0	0	1	0	0	1	1	0	
portrait of a beautiful woman -- stock photo #	https://st.depositphotos.com/3200101/4106/i/950/depositphotos_41064141-stock-photo-girl-sitting-on-a-bed.jpg	1	1	0	0	1	0	0	0	0	1	
actor attends the premiere party	https://media.gettyimages.com/photos/josie-maran-attends-the-fashion-4-developments-5th-annual-official-picture-id490440146?s=612x612	1	0	0	0	1	0	0	0	1	0	
actor and guest arrive at awards held	https://media.gettyimages.com/photos/actor-greg-evigan-and-wife-pam-arrive-at-the-los-angeles-premiere-of-picture-id595262138?s=612x612	1	0	1	0	1	0	0	0	1	0	
photo - snow wednesday morning .	https://www.gardenaffairs.co.uk/assets/images/blog/2011/Summerhouse-bespoke.jpg	1	0	0	1	1	0	0	1	0	0	
the sun rises over the mountains	https://ak0.picdn.net/shutterstock/videos/1574980/thumb/1.jpg	1	0	0	0	1	0	0	0	1	0	
short hair styles for mother of the bride	https://i.pinimg.com/736x/d1/ff/e9/d1ffe99521e157c5cb5dd7dfd7ee7eed--prom-hairstyles-black-hairstyles.jpg	0	0	0	1	0	0	0	0	0	0	
actor covers the issue of magazine .	https://kmsitz.files.wordpress.com/2013/01/rihanna.jpg	1	0	0	0	0	0	1	0	0	0	text relevant
plane taxiing on the runway	https://ak8.picdn.net/shutterstock/videos/6057758/thumb/1.jpg	1	0	1	1	0	0	0	0	0	0	
the art of painting artist	https://i.pinimg.com/736x/29/8a/26/298a266a4955dedbd2ce19ee4dd51d96.jpg	0	0	0	1	0	0	1	0	0	0	text relevant?
photo taken by person .	https://pbs.twimg.com/media/DMI_aXGVoAA0pn7.jpg	0	0	0	1	0	0	0	0	0	0	
cigarettes in a row on a table	http://l7.alamy.com/zooms/3657878f6809448c931f1a999ed95da8/white-cigarettes-in-a-row-d6573k.jpg	1	0	0	0	0	0	0	0	0	0	
funny animals of the day	https://i.pinimg.com/736x/5b/4d/01/5b4d01b8fc4cfaaded0ea054e40ec6ff--funny-things-funny-stuff.jpg	0	1	0	1	0	0	1	0	0	0	text relevant
one of the many caves	http://l7.alamy.com/zooms/0c8b167bb63045b8af886628d79a2173/an-abandoned-underground-mine-which-was-once-used-to-mine-white-limestone-hh547r.jpg	1	0	0	1	1	0	0	0	1	0	
person is the new head coach .	https://i.pinimg.com/736x/5d/3b/2f/5d3b2ff889b826691cae4313fb075659--reading-online-palmistry.jpg	0	0	0	1	0	0	0	0	0	0	
collection of beads on a white background	https://thumb1.shutterstock.com/display_pic_with_logo/120493/120493,1329100214,3/stock-photo-colorful-natural-stones-arranged-in-a-circle-and-isolated-on-white-95022052.jpg	0	0	0	0	0	1	0	0	0	0	
picnic tables by the river	https://odis.homeaway.com/odis/listing/1bec2dd5-774d-4c8c-a588-d9e35b9f6fd6.c10.jpg	0	0	0	0	0	1	0	0	0	0	
custom cars at the car and bike show	http://www.lambocars.com/images/murcielago/murcielago_lbr660_35.jpg	1	0	0	1	1	0	0	0	1	0	
garden design ideas - the best trees for small gardens	https://i.pinimg.com/736x/54/1d/35/541d35120c16cef9f6f1ac1bbc9c3e40--small-entry-garden-tips.jpg	0	1	0	1	0	0	0	0	0	0	
in addition to the game for phones and tablets , you can also download person for free .	http://3.bp.blogspot.com/-pyAcTdcAP8E/VQbZdfxh9BI/AAAAAAAAHcs/jIDQHN747rg/s1600/Home-Printable1.jpg	0	0	0	1	0	0	1	0	0	0	text relevant
ideas for a ##th birthday party at home	https://i.pinimg.com/736x/e5/06/64/e5066480726479a07c88e3686eac3529--pink-birthday-parties-pink-parties.jpg	0	0	0	1	0	0	1	0	0	0	text relevant
actor is photographed for newspaper	https://media.gettyimages.com/photos/actors-steve-martin-and-carol-burnett-pose-at-a-town-hall-los-angeles-picture-id524040446?s=612x612	0	0	0	1	0	0	0	0	0	0	
bedroom in the holiday house for people	https://www.ski-boutique.co.uk/fileadmin/user_upload/Resorts/Switzerland/Zermatt/Chalet_Elbrus/Elbrus_bed_view_31.jpg	1	0	0	1	1	0	0	0	1	0	
type of dish in a jar	https://i1.wp.com/prepareandnourish.com/wp-content/uploads/2017/04/Spinach-Soup.jpg?resize=750%2C1125&ssl=1	0	0	0	1	0	0	0	0	0	0	
the old port of city	https://t3.thpservices.com/previewimage/gallage/8d02700024b6756cd5b2922480f46dff/wr0268032.jpg	0	0	0	1	1	0	0	0	1	0	
western christian holiday from the family !	http://i.dailymail.co.uk/i/pix/2015/02/25/2615068F00000578-2968889-image-a-71_1424884711406.jpg	0	0	0	1	0	0	0	0	0	0	
a model walks the runway at the fashion show during event .	https://i.pinimg.com/736x/86/02/3a/86023a4b839e6cb0668ef70774dc4519--seville-spain-torres.jpg	1	0	1	0	1	0	0	1	1	0	
guests at the ##th anniversary party	http://www.outbackbowl.com/images/photos/6/57.jpg	0	0	0	1	1	0	0	1	1	0	
the wind blowing through the grass	http://l7.alamy.com/zooms/fbd06ad17299426ba132dadeac9501cc/green-grasses-blowing-in-the-wind-in-glacier-national-park-dhbn5c.jpg	1	0	0	0	0	0	0	0	0	0	
person performs live during a concert	https://media.gettyimages.com/photos/german-singer-lukas-rieger-performs-live-during-a-concert-at-the-on-picture-id625366328?s=612x612	1	0	1	0	1	0	0	1	0	0	
a woman wearing a mask and costume	http://c8.alamy.com/comp/KDACDX/a-street-artist-in-an-anonymous-guy-fawkes-mask-in-the-centre-of-amsterdam-KDACDX.jpg	1	0	1	0	0	0	0	0	0	0	
a recent roofer job in the area	https://www.fortwayneroofbuilder.com/images/547053_24.jpg	1	0	0	1	0	0	0	0	0	0	
coach reacts during the match .	https://i.pinimg.com/736x/1d/d0/46/1dd046af0b0f4b8b12dbc42305a44780--bill-self-ku-basketball.jpg	1	0	1	0	1	0	0	1	0	0	
dogs playing on the beach	http://i.dailymail.co.uk/i/pix/2015/06/23/13/29E335F700000578-3135997-image-a-140_1435062755577.jpg	1	0	1	0	1	0	0	0	1	0	
vector illustration of a little girl and her dog .	https://thumb7.shutterstock.com/display_pic_with_logo/1970171/161036405/stock-photo-illustration-with-children-ride-on-a-sled-in-the-winter-for-christmas-161036405.jpg	0	0	0	0	0	1	0	0	0	0	junk
day of the dead art	https://i.pinimg.com/736x/77/62/f0/7762f0e04722ea08fe612e7bec522532--skull-face-paint-costume-makeup.jpg	0	0	0	0	0	1	0	0	0	0	
fairy tale book by person	http://www.freakingnews.com/pictures/90000/Beyonce-the-Smurf-By-a-Mushroom--90309.jpg	0	0	0	0	0	1	0	0	0	0	junk
property image # level beach house !	https://odis.homeaway.com/odis/listing/8a5f922c-5963-4c8d-8c95-859793e03bb9.c10.jpg	0	0	0	1	0	0	0	0	0	0	
i love the color of the walls .	https://st.hzcdn.com/fimgs/f431801a0469343f_5690-w500-h666-b0-p0--.jpg	0	1	0	1	0	0	0	0	0	0	
biological variety in a bowl	https://i0.wp.com/www.breezybakes.com/wp-content/uploads/2016/08/broccoli.jpg?ssl=1	0	0	0	0	0	1	0	0	0	0	
contestants pose on stage during recurring competition .	http://i.dailymail.co.uk/i/pix/2017/05/15/03/4055DC1E00000578-4506004-image-a-106_1494817083001.jpg	1	0	1	0	1	0	0	1	0	0	
digital art selected for the #	https://kittyalexandrajonescom.files.wordpress.com/2017/06/sophia.jpg	0	0	0	0	0	1	0	0	0	0	junk
actor and person on the beach	https://media.gettyimages.com/photos/three-english-fashion-models-lay-in-the-sand-while-on-a-trip-to-the-picture-id599356262?s=612x612	1	0	0	0	1	0	0	0	1	0	
fire show on the beach	https://ssl.c.photoshelter.com/img-get/I0000g9.W3os07wg/s/880/880/Copacabana-beach-new-year-SO00018.jpg	0	0	0	1	1	0	0	0	1	0	
family time : actor and his daughter were spotted out for a stroll with their daughter	http://i.dailymail.co.uk/i/pix/2015/06/30/03/2A19310C00000578-0-image-a-51_1435630358321.jpg	0	0	0	1	0	0	0	0	0	0	
cute puppy sitting in the box isolated on white background	https://thumb7.shutterstock.com/display_pic_with_logo/137002/119083141/stock-photo-opened-parcel-with-a-child-s-toy-isolated-on-white-119083141.jpg	0	0	0	0	0	1	0	0	0	0	
example of a trendy living room design with white walls	https://i.pinimg.com/736x/72/7f/40/727f401a4a4a05f7fcd0a2373889ea37.jpg	1	1	0	1	0	0	0	0	0	0	
person performs onstage at festival	https://media.gettyimages.com/photos/musician-chico-ramos-performs-onstage-at-the-new-orleans-jazz-at-picture-id526528014?s=612x612	1	0	1	0	1	0	0	1	1	0	
example of a trendy kitchen design	https://s-media-cache-ak0.pinimg.com/736x/75/e2/cf/75e2cf05a8e4bec0cb65b22e8a317074.jpg	1	1	0	1	0	0	0	0	0	0	
noble person wearing the tiara .	https://i.pinimg.com/736x/e5/6c/63/e56c630672e9e09c80048b714192e326--royal-jewels-queen-of.jpg	1	0	0	1	0	0	0	0	0	0	
actor attends the screening hosted by production company .	https://i.pinimg.com/736x/05/17/1a/05171ac766c8cd52866d71a247d3ed22--october--sciences.jpg	1	0	0	0	1	0	0	0	1	0	
i want this for my room !	https://i.pinimg.com/736x/45/fc/c3/45fcc38b2656946ee65990606bb5a5af--the-doors-letting-go.jpg	0	0	0	1	0	0	1	0	0	0	text relevant
actor and his wife are seen on the streets	https://media.gettyimages.com/photos/actress-nicole-kidman-and-actor-tom-cruise-attend-the-1993-us-open-picture-id156177587?s=612x612	1	0	0	1	1	0	0	0	1	0	
singer performs during her concert .	https://media.gettyimages.com/photos/singer-cherise-performs-during-the-david-foster-dinner-at-bon-appetit-picture-id109636440?s=612x612	1	0	1	0	1	0	0	1	0	0	
film character in a cartoon style .	https://st3.depositphotos.com/10396160/13288/i/1600/depositphotos_132884064-stock-photo-illustration-of-christmas-sleeping-elf.jpg	1	0	0	0	0	0	0	0	0	0	
water flowing over the rocks	https://ak9.picdn.net/shutterstock/videos/31638469/thumb/12.jpg	1	0	0	0	0	0	0	0	0	0	
warm coat with a hood	http://images.askmen.com/style/fashion_advice/_1479504589.jpg	1	0	0	0	0	0	0	0	0	0	
woman lying in a field with her dog	http://l7.alamy.com/zooms/c27db7165d94436180c4f68586be8e96/old-labrador-retriever-after-swimming-in-the-river-wet-dog-is-dried-j8815n.jpg	0	0	0	0	0	1	0	0	0	0	
close up portrait of a beautiful young woman with red lipstick	https://media.istockphoto.com/photos/the-woman-with-the-smeared-lipstick-picture-id469200160?k=6&m=469200160&s=612x612&w=0&h=ed75n3ef2Z7xjvVvfOZukdwWJyHJAiarTmW_CRnVktw=	1	1	0	1	1	0	0	0	0	1	
the tallest building in the world	http://l7.alamy.com/zooms/fe6d6bba8b174e68b6422979f245fa70/a-man-takes-a-picture-with-his-phone-of-the-taipei-101-tower-at-night-jfbwca.jpg	0	0	0	1	0	0	0	0	0	0	
bunk beds for the kids	https://a0.muscache.com/im/pictures/3eae3af9-8ba9-4ba4-bf4b-6270b016f9e4.jpg?aki_policy=x_large	1	0	0	1	0	0	0	0	0	0	
a bride and groom kiss during their wedding ceremony	http://l7.alamy.com/zooms/85a9bbce04c7442c8dc3ab495b29bb17/making-their-way-through-the-crowd-in-wedding-dresses-are-jeanne-fong-ccn5dp.jpg	0	0	0	0	0	1	0	0	0	0	
parade during the annual celebration	https://i2-prod.mirror.co.uk/incoming/article7574392.ece/ALTERNATES/s615b/Cheltenham-Festival-Day-3.jpg	1	0	0	1	1	0	0	1	0	0	
how to paint a table with drawers	https://i.pinimg.com/736x/06/e2/77/06e2771a985a3053c8bda6042f91c6ac--old-tables-table-and-chair-sets.jpg	0	0	0	1	0	0	0	0	0	0	
ballet dancers perform during a photo shoot .	http://i.dailymail.co.uk/i/pix/2017/06/09/22/4149B77A00000578-0-image-m-109_1497043361648.jpg	0	0	1	1	1	0	0	1	0	0	
father and son sitting on a couch	http://l7.alamy.com/zooms/8846545dce9f48fbad21038d25c88f8f/a-young-affectionate-couple-on-a-couch-bp6k14.jpg	0	0	0	0	0	1	0	0	0	0	
washing car in the morning	https://www.gannett-cdn.com/-mm-/561b8f76574f8ed6c99207e5d62c971a25c08b5c/c=0-0-4482-3370/local/-/media/2017/07/27/Phoenix/Phoenix/636367523354077723-GettyImages-520587358.jpg	1	0	1	0	1	0	0	1	0	0	
how to take care of a turtle	http://2.bp.blogspot.com/-uiEk1u5YF-0/VbKM1NaM3fI/AAAAAAABa2s/fs9xgiJnG2s/s1600/funny-animals-170-26.jpg	0	0	0	1	0	0	0	0	0	0	
example of a trendy bedroom design with beige walls	https://s-media-cache-ak0.pinimg.com/originals/d9/5d/4e/d95d4e184a63e889d81a07753d3f704f.jpg	1	1	0	1	0	0	0	0	0	0	
i want this as my ring !	https://i.pinimg.com/736x/51/b0/63/51b0638f23222b6dac4148e8dea64227--titanium-rings-tungsten-rings.jpg	0	0	0	1	0	0	0	0	0	0	
this sweater is so cute !	https://i.pinimg.com/736x/7f/79/a1/7f79a19c9ef5133370af75738f7fb469--peasant-blouse-peasant-tops.jpg	0	1	0	1	0	0	0	0	0	0	
