caption	url	Visible	Subjective	Action	Story	Meta	Irrelevant	Other	When	How	Where	Comment
filming location where to shop , eat and party !	https://handluggageonly.co.uk/wp-content/uploads/2015/07/P1070244.jpg	0	0	0	1	0	0	0	0	0	0	
soccer player speaks during a press conference .	https://media.gettyimages.com/photos/manager-jose-mourinho-of-manchester-united-speaks-during-a-press-at-picture-id851377886	1	0	1	0	0	0	0	0	0	0	
take an exclusive tour of person and home during the holidays as each room gets a sparkling transformation .	https://i.pinimg.com/736x/54/3f/cf/543fcf21f8a92d67fc3425e2d9a87b7b--eclectic-christmas-trees-christmas-decor.jpg	0	0	0	1	0	0	0	0	0	0	
players celebrate from an open - top bus	https://i2-prod.mirror.co.uk/incoming/article5841946.ece/ALTERNATES/s615/Barcelonas-players-celebrate-from-an-open-top-bus.jpg	1	0	1	0	0	0	0	0	0	0	
illustration of a woman with angry face	http://c8.alamy.com/comp/KEN2K3/illustration-of-a-woman-with-angry-face-KEN2K3.jpg	0	1	0	0	0	0	0	0	0	0	
ripe mango on a plate .	https://media.gettyimages.com/photos/ripe-mango-on-a-plate-australia-picture-id502016361?s=612x612	1	0	0	0	0	0	0	0	0	0	
kids playing in the snow	https://cdn.images.dailystar.co.uk/dynamic/1/photos/565000/620x/UK-weather-freeze-662833.jpg	1	0	1	0	0	0	0	0	0	0	
ceremony at chapel of the flowers	http://www.littlechapel.com/wedding-blog/wp-content/uploads/2015/04/Chapel-of-the-Flowers-Las-Vegas-Wedding-Chapel-March-Favorites-IMG-1100400-2155.jpg	0	0	0	1	0	0	0	0	0	0	
seamless pattern of colorful balloons on a white background	https://thumb10.shutterstock.com/display_pic_with_logo/4263844/426417553/stock-vector-seamless-pattern-of-colorful-balloons-on-a-white-background-426417553.jpg	1	0	0	0	0	0	0	0	0	0	
police officers were highly visible on the streets at weekend	http://www.theargus.co.uk/resources/images/5289001.jpg?display=1&htype=0&type=responsive-gallery	1	0	0	1	0	0	0	0	0	0	
person attends award category honoring musical artist	https://media.gettyimages.com/photos/maia-attends-the-2016-latin-grammy-person-of-the-year-honoring-marc-picture-id623816006?s=612x612	1	0	0	0	0	0	0	0	0	0	
black cat on a white background	https://image.shutterstock.com/z/stock-vector-black-cat-on-a-white-background-116271190.jpg	1	0	0	0	0	0	0	0	0	0	
woman relaxing on a fitness ball	https://media.gettyimages.com/photos/woman-relaxing-on-a-fitness-ball-picture-id172598658?s=612x612	1	0	1	0	0	0	0	0	0	0	
fading northwest arch over country during a sunset .	https://i.pinimg.com/736x/24/01/63/2401637ddf6b72643cf789f464e5a9b9--cloud--canterbury.jpg	0	0	0	1	0	0	0	0	0	0	
a swarm of bees appeared on a set of traffic lights at the junction	http://l7.alamy.com/zooms/8932602f929a4046831d6458e8e31eff/a-swarm-of-bees-appeared-on-a-set-of-traffic-lights-in-central-london-c4n13p.jpg	1	0	0	1	0	0	0	0	0	0	
athlete wins gold in the men 's 200m t44 during day	http://l7.alamy.com/zooms/30c0266d24b1449eaac5af9dbb3b442e/usas-jarryd-wallace-wins-gold-in-the-mens-200m-t44-during-day-nine-jka9ff.jpg	0	0	0	1	0	0	0	0	0	0	
a recreation rode the day of her protest .	https://prologuepiecesofhistory.files.wordpress.com/2015/11/406-nsb-053-bus.jpg	0	0	0	1	0	1	0	0	0	0	
automobile model , definitely not 100x better than the 500	http://zonderpump.com/images600_/the-fiat-600-definitely-not-100x-better-than-the-500-2.jpg	0	1	0	1	0	0	0	0	0	0	
a proposed bill would allow the sale of alcohol via a vending machine	http://wfsb.images.worldnow.com/images/12925418_G.jpg	0	0	0	1	0	0	0	0	0	0	
red lips are my trademark !	https://i.pinimg.com/736x/0e/e3/53/0ee353c62d4f2af33ea42c750d14dd04--my-style-pin-up-style.jpg	0	1	0	1	0	0	0	0	0	0	
author - leading off person gets a close - up view of the boards during a game	https://i.pinimg.com/736x/ee/71/03/ee71036b3ea829204194fcb4b1a5a603--sports-photos-lake-erie.jpg	0	0	0	1	0	0	0	0	0	0	
the birthday cake with candles in the form of number icon .	https://thumb7.shutterstock.com/display_pic_with_logo/1158365/342491711/stock-vector-the-birthday-cake-with-candles-in-the-form-of-number-icon-birthday-symbol-flat-vector-342491711.jpg	1	0	0	0	0	0	0	0	0	0	
businessperson attends the fall fashion show during fashion week .	https://media.gettyimages.com/photos/iris-apfel-attends-the-joanna-mastroianni-fall-2013-fashion-show-picture-id161406666	0	0	0	1	0	0	0	0	0	0	
heading back down the trail .	http://idahoalpinezone.com/modules/gallery/albums/WatsonAttempt/img/DSC03684.JPG	0	0	0	1	0	0	0	0	0	0	
paintings to the spree years	http://fortuny.visitmuve.it/wp-content/uploads/2014/09/11.jpg	0	0	0	1	0	0	0	0	0	0	
actor , actor and family attend the gala performance .	https://media.gettyimages.com/photos/shane-richie-christie-goddard-and-family-attend-the-gala-performance-picture-id803541868	1	0	0	0	0	0	0	0	0	0	
red cat catches a mouse .	https://thumb7.shutterstock.com/display_pic_with_logo/436567/126764309/stock-photo-red-cat-catches-a-mouse-raster-illustration-vector-file-included-in-portfolio-126764309.jpg	1	0	0	0	0	0	0	0	0	0	
deity , an enormous mythical bird , originated from mythology .	https://s-media-cache-ak0.pinimg.com/originals/74/01/a6/7401a6f5f0f7bb7aa24fc1ec000b8cba.jpg	0	0	0	1	0	0	0	0	0	0	
big and small old and antique pocket watch or clocks swinging or rocking from the air	https://ak6.picdn.net/shutterstock/videos/21903436/thumb/1.jpg	1	1	0	0	0	0	0	0	0	0	
dew drops collect on a blossom .	http://www.sheppranch.com/wp-content/uploads/flower-dew-600x400.jpg	1	0	0	0	0	0	0	0	0	0	
grilled seafood at a restaurant	http://l7.alamy.com/zooms/373bcb33f28c415bbb43753abf35e7cc/grilled-seafood-at-a-korean-restaurant-d7nb46.jpg	1	0	0	0	0	0	0	0	0	0	
the gravel road along the railway	https://willemvandoorne.files.wordpress.com/2013/02/p8032706_1200x900.jpg?w=620	1	0	0	1	0	0	0	0	0	0	
queue of people boarding a bus	http://l7.alamy.com/zooms/03ba829f231f4db8b47f947bd4f121c6/queue-of-people-boarding-a-stagecoach-bus-in-the-uk-gdhar5.jpg	1	0	1	0	0	0	0	0	0	0	
very large yacht moored in the port	http://l7.alamy.com/zooms/d9f80de00dd44097bad95aef1c9fa5ae/very-large-yacht-moored-in-the-port-of-monaco-gcaw1w.jpg	1	1	0	0	0	0	0	0	0	0	
person presented each teacher with an award at the ceremony .	http://cobbcast.cobbk12.org/wp-content/uploads/2014/10/IMG_2355.jpg	1	0	1	1	0	0	0	0	0	0	
a member , left , leads member aboard a helicopter before	http://l7.alamy.com/zooms/0577fa70efd845a7930daa564b8ccae3/a-us-army-special-forces-member-left-leads-croatian-member-aboard-e1hfyb.jpg	0	0	1	1	0	0	0	0	0	0	
logo beside stadium in monarch	http://l7.alamy.com/zooms/1777eaadbc9247c483cbd1ae7dd26bef/west-ham-united-logo-on-new-london-stadium-store-beside-the-converted-ge6tkr.jpg	1	0	0	0	0	0	0	0	0	0	
nothing says like a fireplace and bookshelves .	https://dynamic.homeimprovement2day.com.au/files/listings/8/0/2/11802/images//6147.jpg	0	0	0	0	0	1	0	0	0	0	caption incomplete
actors attend the premiere of film .	https://media.gettyimages.com/photos/actor-tony-yang-yau-ning-actress-ruby-lin-and-actor-simon-yam-attend-picture-id524690188	1	0	0	0	0	0	0	0	0	0	
the kids play board games at the table with family	https://ak1.picdn.net/shutterstock/videos/22728691/thumb/1.jpg	1	0	1	0	0	0	0	0	0	0	
people and cats : coping after a marriage ends	https://www.pawculture.com/uploads/coping-after-marriage-main.jpg	0	0	0	1	0	0	0	0	0	0	
person looks out a window as he puts on his tie	http://www.shutterpopphoto.com/weddings/images/elizabeth-and-tai/mission-san-luis-wedding-01.jpg	1	0	0	1	0	0	0	0	0	0	
illustration of mosquitoes on a white background vector	https://us.123rf.com/450wm/iimages/iimages1301/iimages130100956/17358071-illustration-of-four-mosquitoes-on-a-white-background.jpg?ver=6	1	0	0	0	0	0	0	0	0	0	
planting , work in the garden .	http://l7.alamy.com/zooms/66ac57a2e2c34ea7b61ead486bf6a4ea/planting-work-in-the-garden-female-plants-in-pot-plants-forming-a-fg9taf.jpg	1	0	1	0	0	0	0	0	0	0	
doctor and patient sitting at the desk near window	http://l7.alamy.com/zooms/ba211b4842014c3495bd20ae8027a1e2/doctor-and-patient-sitting-at-the-desk-near-window-j8md13.jpg	1	0	0	0	0	0	0	0	0	0	
the snake creeps through a stream on a pebble and rubble	https://ak6.picdn.net/shutterstock/videos/178066/thumb/1.jpg	1	0	1	0	0	0	0	0	0	0	
birds landing on a rock	https://media.gettyimages.com/photos/birds-landing-on-a-rock-picture-id638282182?s=612x612	1	0	1	0	0	0	0	0	0	0	
bottles of pills , one knocked over with contents spilling out , and a syringe , close up , high angle view .	https://media.gettyimages.com/photos/two-bottles-of-pills-one-knocked-over-with-contents-spilling-out-and-picture-id73740799?s=612x612	1	0	0	0	0	0	0	0	0	0	
politician watches american football team vs football game with cadets from the december	http://l7.alamy.com/zooms/6d33c581dec84684b72910a0d1844e45/president-barack-obama-watches-the-army-vs-navy-football-game-with-cc08y1.jpg	1	0	1	0	0	0	0	0	0	0	
how to apply for a passport	https://i1.wp.com/wifewithbaggage.com/wp-content/uploads/2013/12/How-to-Apply-for-an-American-Passport.jpg?fit=700%2C467	0	0	0	1	0	0	0	0	0	0	
women talk and laugh together around a campfire	https://media.gettyimages.com/photos/three-women-talk-and-laugh-together-around-a-campfire-picture-id106795862	1	0	1	0	0	0	0	0	0	0	
actor attends the world premiere aboard ship in the borough .	http://media.gettyimages.com/photos/actress-rebecca-ferguson-attends-the-the-greatest-showman-world-the-picture-id888631060	1	0	0	1	0	0	0	0	0	0	
automobile make , pictured when pausing at the edge .	http://www.wheels-alive.co.uk/wp-content/uploads/2016/11/Borneo-KH-1.jpg	1	0	0	0	0	0	0	0	0	0	
logo with a baseball ball and ribbon	https://thumb1.shutterstock.com/display_pic_with_logo/2909641/316200200/stock-vector-four-logo-with-a-baseball-ball-and-ribbon-316200200.jpg	1	0	0	0	0	0	0	0	0	0	
people in one of the traditional villages .	https://blog.tracks4africa.co.za/wp-content/uploads/2015/09/IMG_0334-Copy.jpg	0	0	0	1	0	0	0	0	0	0	
a leopard is grooming the fur on a tree	http://l7.alamy.com/zooms/e3f8dd9d1ea946f2b3f04dac1de1a88b/a-leopard-panthera-pardus-is-grooming-the-fur-on-a-tree-in-serengeti-ee3tgd.jpg	1	1	1	0	0	0	0	0	0	0	
property image # new and modern villa in a prime location	https://odis.homeaway.com/odis/listing/d81ed29b-f448-444a-9048-ed9cc9fe666a.c10.jpg	0	1	0	0	0	0	0	0	0	0	
smiling long hair girl , with green backpack , looking at the map and having tea while resting in the forest	https://ak7.picdn.net/shutterstock/videos/31783117/thumb/1.jpg?i10c=img.resize(height:160)	1	0	1	0	0	0	0	0	0	0	
person with another nice bass	http://i1.wp.com/theminnowbucket.net/wp-content/uploads/2016/05/IMG_8682edit1.jpg?resize=683%2C1024	1	1	0	0	0	0	0	0	0	0	
a city in the mountains	https://i.pinimg.com/736x/d7/14/43/d71443d4f8deadb6db2e1bfaa4f9e125--waterfall-hikes-nc-mountains.jpg	0	0	0	1	0	0	0	0	0	0	
cartoon of a happy blood	http://diysolarpanelsv.com/images/hot-water-clipart-36.jpg	1	0	0	0	0	0	0	0	0	0	
fans cheer for their team as they play sports team during the first half .	https://media.gettyimages.com/photos/new-orleans-saints-fans-cheer-for-their-team-as-they-play-the-the-picture-id876384170	1	0	1	1	0	0	0	0	0	0	
woman , a chef in commercial kitchen	https://media.gettyimages.com/photos/african-american-woman-a-chef-in-commercial-kitchen-picture-id638833946?s=612x612	1	0	0	0	0	0	0	0	0	0	
young woman drinking coffee to go on the street	https://media.gettyimages.com/photos/new-york-city-manhattan-young-woman-drinking-coffee-to-go-on-the-picture-id717168349?s=612x612	1	0	1	0	0	0	0	0	0	0	
actors arrive at the premiere .	https://media.gettyimages.com/photos/actors-sacha-baron-cohen-and-wife-isla-fisher-arrive-at-the-premiere-picture-id516162564	1	0	0	0	0	0	0	0	0	0	
olive trees grow on a farm in the region .	http://c8.alamy.com/comp/KFX6G1/olive-trees-grow-on-a-farm-in-the-lasithi-region-of-crete-greece-october-KFX6G1.jpg	1	0	0	0	0	0	0	0	0	0	
faux succulent wreath embellished with antlers and moss ... made with all things	https://i.pinimg.com/736x/4e/99/10/4e991090bfde7e90ae7ff57e79a62d44--succulent-skull-faux-succulent-wreath.jpg	1	0	0	0	0	0	0	0	0	0	
c than to wear a green skirt , photo	http://www.nmcisymposium.com/images/moda-i-stil/zelenoe-plate-ili-zelenaya-yubka-chto-nosit-v-pare_22.jpg	0	0	0	0	0	1	0	0	0	0	caption incomplete
person arrives at the premiere .	https://s-media-cache-ak0.pinimg.com/originals/e6/49/5b/e6495b6fb91b2b7bee8e6a5d69dbb8df.jpg	1	0	0	0	0	0	0	0	0	0	
wooden steering wheel on a white background .	https://thumb7.shutterstock.com/display_pic_with_logo/650527/451267885/stock-photo-wooden-steering-wheel-on-a-white-background-d-illustration-vintage-style-451267885.jpg	1	0	0	0	0	0	0	0	0	0	
horses graze against the background of mountains in winter	https://ak9.picdn.net/shutterstock/videos/30323689/thumb/1.jpg	1	0	0	0	0	0	0	0	0	0	
tip : large scale artwork gives a focal point to a room that 's missing one .	https://i.pinimg.com/736x/56/d0/ec/56d0ece14deec7b3da7377ad266fa936--brigitte-bardot-interiordesign.jpg	1	1	0	0	0	0	0	0	0	0	
fall colors have arrived by way of the aspen tree leaves	https://dawn2dawnphotography.files.wordpress.com/2015/10/gc-north-rim-autumn_1262.jpg?w=950&h=728	1	1	0	0	0	0	0	0	0	0	
those chairs against that white rug .	https://i.pinimg.com/736x/ca/9b/58/ca9b5872e5efeb03a75922af232fd49b--pink-chairs-velvet-chairs.jpg	0	1	0	0	0	0	0	0	0	0	
painting artist , drawn with a grid	https://i.pinimg.com/736x/cb/24/8d/cb248d5189c3d3b65eaa3fa5cb8840f6--roy-lichtenstein-pop-art-holy-cross.jpg	1	0	0	0	0	0	0	0	0	0	
a cartoon illustration of prophet looking confused .	https://previews.123rf.com/images/cthoman/cthoman1509/cthoman150901812/44516173-a-cartoon-illustration-of-moses-looking-confused--Stock-Vector.jpg	1	1	0	0	0	0	0	0	0	0	
a gabled wall provides the entrance to this holiday home in a coastal village , which also features rooms arranged around a garden and cherry tree	https://i.pinimg.com/736x/0d/a7/3a/0da73a247e79719667c042602028477f.jpg	0	0	0	1	0	0	0	0	0	0	
clutch bouquet on a table	https://media.gettyimages.com/photos/clutch-bouquet-on-a-table-picture-id82489523?s=612x612	1	0	0	0	0	0	0	0	0	0	
add a stroke of magic to your look with our set of cosmetic brushes that will help transform any ordinary maiden into an extraordinary princess .	https://i.pinimg.com/736x/0d/28/41/0d28413d6631cb669c27beaec59b7383--cosmetic-brushes-makeup-brushes.jpg	0	1	0	1	0	0	0	0	0	0	
person attends the awards gala dinner	https://media.gettyimages.com/photos/director-deborah-riley-draper-attends-the-naacp-image-awards-gala-at-picture-id634695466?s=612x612	1	0	0	0	0	0	0	0	0	0	
silhouette of a bird safely landing on a roof	http://l7.alamy.com/zooms/c70967c43b3f485eba9329278b3e4dab/silhouette-of-a-bird-safely-landing-on-a-roof-cnn8hn.jpg	1	0	1	0	0	0	0	0	0	0	
what 's a restaurant without a vespa , right ?	http://www.foodgal.com/wp-content/uploads/2018/01/Vespa.jpg	0	1	0	0	0	0	0	0	0	0	
person assisting the bride into her car for the ceremony	http://www.bgmep.com/weddings_2014/porter-bouquet-rome.118647.jpg	0	0	1	0	0	0	0	0	0	0	
the crowd to see pop artist	http://news.bbc.co.uk/media/images/46832000/jpg/_46832513_dsc_1024.jpg	1	0	0	1	0	0	0	0	0	0	
clothes for big dogs are hard to find -- so we rounded up some winners for you	http://cdn.skim.gs/image/upload/v1456338917/msi/lions-mane-wig_yvukak.jpg	0	1	0	1	0	0	0	0	0	0	
coffee cup , notebook , pen , smartphone and headphones on a windowsill .	https://thumb7.shutterstock.com/display_pic_with_logo/796321/528988561/stock-photo-coffee-cup-notebook-pen-smartphone-and-headphones-on-a-windowsill-the-view-from-the-window-on-528988561.jpg	1	0	0	0	0	0	0	0	0	0	
actor attends the world premiere of season ofthe crown .	http://media.gettyimages.com/photos/vanessa-kirby-attends-the-world-premiere-of-season-2-of-netflix-the-picture-id877245194?k=6&m=877245194&s=612x612&w=0&h=dZgj3y7zWAGo4G3AFRt-HCINOJHrPTwjYY5w-ZLpVDA=	0	0	0	1	0	0	0	0	0	0	
biological variety boiling in a pot	http://c8.alamy.com/comp/K4PRPB/broccoli-boiling-in-a-pot-K4PRPB.jpg	1	0	0	0	0	0	0	0	0	0	
profile shot of a young guy walking his dog in a park on a sunny autumn day	http://l7.alamy.com/zooms/a9164c5d7d65431da4dd2a51326d2008/profile-shot-of-a-young-guy-walking-his-dog-in-a-park-on-a-sunny-autumn-f6r9r8.jpg	1	0	1	0	0	0	0	0	0	0	
again , the caffeine kicks your metabolism into high gear .	https://i.pinimg.com/736x/31/67/95/3167952b547a554f04c4ece1ef1e3444--homemade-iced-coffee-low-calorie-diet.jpg	0	1	0	0	0	0	0	0	0	0	
hot air balloon flying at festival	http://c8.alamy.com/comp/F18YX8/hot-air-balloon-flying-at-the-strathaven-balloon-festival-F18YX8.jpg	1	0	1	0	0	0	0	0	0	0	
lone sad dog lying on the street .	https://st2.depositphotos.com/1782721/11809/i/950/depositphotos_118098112-stock-photo-lone-sad-dog-lying-on.jpg	0	1	0	0	0	0	0	0	0	0	
colorful winter sunrise in the snowy mountain forest .	https://thumb10.shutterstock.com/display_pic_with_logo/650530/347794127/stock-photo-colorful-winter-sunrise-in-the-snowy-mountain-forest-347794127.jpg	1	1	0	0	0	0	0	0	0	0	
images from the graduation ceremony .	http://www.dailyherald.com/storyimage/DA/20160522/news/160529634/EP/1/16/EP-160529634.jpg&updated=201605230919&MaxW=800&maxH=800&noborder	1	0	0	0	0	0	0	0	0	0	
delftware tiles in a manor house , in the art and crafts style , c1903	http://l7.alamy.com/zooms/f824da7d78de464eb06f0ff09cf4c72a/delftware-tiles-in-an-english-manor-house-in-the-art-and-crafts-style-dwx6d5.jpg	0	0	0	1	0	0	0	0	0	0	
sports team this is an affiliate link .	https://i.pinimg.com/736x/8f/5d/43/8f5d438c552a9b5e36ac19b40a4970e1.jpg	0	0	0	1	0	0	0	0	0	0	
detail of a metal beam	http://www.deltabi.it/images/project/structural-metal-beam.jpg	0	0	0	1	0	0	0	0	0	0	
fans react during the opening match	http://im.rediff.com/news/2014/jun/13brazil3.jpg	0	0	1	1	0	0	0	0	0	0	
greek dish is light and refreshing , and full of healthy ingredients .	https://i.pinimg.com/736x/84/cd/e9/84cde9d417f9d164cec63928f425b670--neutral-plates-mediterranean-meals.jpg	0	1	0	1	0	0	0	0	0	0	
biological species was the most reported bird in the count	https://www.trevorsbirding.com/wp-content/uploads/2015/10/IMG_0094.jpg	0	0	0	1	0	0	0	0	0	0	
little girl in the woods	https://media.istockphoto.com/photos/little-girl-in-the-woods-picture-id623967988?k=6&m=623967988&s=612x612&w=0&h=eWETT2qzD-lB4JZ9yEv-pISGi2h390XKMk-iVSCqf3Q=	1	0	0	0	0	0	0	0	0	0	
young men and women working behind the counter at a fast food restaurant	http://l7.alamy.com/zooms/60d0a3064ab6463eadb974eabea7a6ed/young-men-and-women-working-behind-the-counter-at-a-mcdonalds-fast-j24nt6.jpg	1	0	1	0	0	0	0	0	0	0	
a little girl with a red umbrella goes .	https://thumb1.shutterstock.com/display_pic_with_logo/723145/133707470/stock-photo-a-little-girl-with-a-red-umbrella-goes-no-gradients-133707470.jpg	1	0	0	0	0	0	0	0	0	0	
look fall winter -- finger in the nose	https://i.pinimg.com/736x/f5/95/70/f59570765a7eb59bfcb4b263de1d3aaa--oversized-jacket-dark-star.jpg	0	0	0	1	0	1	0	0	0	0	
players line up for a group photo before the group match .	https://media.gettyimages.com/photos/players-of-chelsea-line-up-for-a-group-photo-before-the-uefa-league-picture-id56055752?k=6&m=56055752&s=612x612&w=0&h=QQUUrNn1jyHhT4awYqOsdiBNhDJEkjN3zqv4K0gWqFA=	1	0	1	1	0	0	0	0	0	0	
a set of dishes from different parts of the chicken .	https://thumb1.shutterstock.com/display_pic_with_logo/255229/405147283/stock-photo-a-set-of-dishes-from-different-parts-of-the-chicken-fast-food-405147283.jpg	1	0	0	1	0	0	0	0	0	0	
a logo sign outside of the headquarters	http://l7.alamy.com/zooms/cf6485867dc346e881d0041f8ff02ecb/a-logo-sign-outside-of-the-headquarters-of-starwood-hotels-and-resorts-f85n8m.jpg	1	0	0	0	0	0	0	0	0	0	
person is an excellent main color for a bedroom , despite its very neutral and cool nature	https://cdn.homedit.com/wp-content/uploads/2017/10/Porada-bedroom-furniture-in-blue-with-corner-desk.jpg	0	1	0	0	0	0	0	0	0	0	
it is estimated that metric tons of plastic find their way into the world 's oceans every year	http://i.dailymail.co.uk/i/pix/2018/01/05/21/47CB511D00000578-0-image-a-11_1515189505226.jpg	0	0	0	1	0	0	0	0	0	0	
maiden grass can withstand a deep snowfall and so birds can forage through it all winter .	https://www.thestar.com/content/dam/thestar/life/homes/2016/10/29/these-plants-are-for-the-birds/2-maiden-grass.jpg.size.custom.crop.867x650.jpg	0	0	0	1	0	0	0	0	0	0	
actor arrives at the premiere .	https://media.gettyimages.com/photos/actress-rebel-wilson-arrives-at-the-premiere-of-universal-pictures-picture-id891275874	1	0	0	0	0	0	0	0	0	0	
person flashed his famous smile with shades and a soft , side - parted hairstyle	http://www3.pictures.stylebistro.com/bg/Cruise+and+Diaz+Good+Morning+MSCU39plkHBl.jpg	1	1	1	0	0	0	0	0	0	0	
posters advertising films and workmen outside business	http://l7.alamy.com/zooms/21f5bdd9a64d4943a3088e4fca835f94/posters-advertising-films-and-workmen-outside-the-vue-cinema-in-leicester-axhxpe.jpg	1	0	0	0	0	0	0	0	0	0	
turtles and a small crocodile at a zoo	http://l7.alamy.com/zooms/058aec70aae74db1aa86d979e2763d0d/three-turtles-and-a-small-crocodile-at-a-zoo-in-panama-city-b7ttrw.jpg	1	0	0	0	0	0	0	0	0	0	
actor attends the uk premiere .	https://media.gettyimages.com/photos/jane-march-attends-the-uk-premiere-of-dead-man-running-at-odeon-on-picture-id92265246	1	0	0	0	1	0	0	0	0	0	
banyan tree house in island ~ populated almost entirely by region following a more traditional lifestyle than many other islands .	https://s-media-cache-ak0.pinimg.com/736x/04/c4/30/04c430c5faab456be7e21924ef83a038.jpg	0	0	0	1	0	0	0	0	0	0	
wild pink flowers blowing in deep forest floor , butterfly on the flower	https://ak7.picdn.net/shutterstock/videos/8717827/thumb/1.jpg?i10c=img.resize(height:160)	1	0	0	1	0	0	0	0	0	0	
patio packed cars at the port	http://l7.alamy.com/zooms/ad1a5cd137f94848ab395fa1331dc53c/patio-packed-cars-at-the-port-ftpm7m.jpg	1	0	0	0	0	0	0	0	0	0	
this is me with the dance team .	http://brentreser.com/wp-content/uploads/2014/04/Me-With-Dance-1.jpg	1	0	0	0	0	0	0	0	0	0	
a woman in front of a tent	http://l7.alamy.com/zooms/487be455ae544a2299ddff31c6bcfa6f/a-woman-in-front-of-a-tent-jokkmokk-sweden-ba982d.jpg	1	0	0	0	0	0	0	0	0	0	
map of the regions and locations	https://ars.els-cdn.com/content/image/1-s2.0-S1040618213007921-gr2.jpg	1	0	0	0	0	0	0	0	0	0	
racecar driver does physical therapy .	http://www.tampabay.com/storyimage/HI/20170528/ARTICLE/305289727/AR/0/AR-305289727.jpg	0	0	0	1	0	0	0	0	0	0	
a pretty stone cottage in the village	http://l7.alamy.com/zooms/603ffbc1a7d0428dbfa5663873459628/a-pretty-stone-cottage-in-the-cotswold-village-of-castle-combe-in-e7dgp2.jpg	1	1	0	0	0	0	0	0	0	0	
flowers left at the scene	https://www.thesun.co.uk/wp-content/uploads/2016/04/1360942.main_image.jpg?strip=all	1	0	0	0	0	0	0	0	0	0	
duvet cover from amazon -- want additional info ? click on the image .	https://i.pinimg.com/736x/b4/53/18/b45318af014e91bb23fd75f0d93c7d00.jpg	0	0	0	1	0	0	0	0	0	0	
a street in person with lots of flags at lines	https://ak4.picdn.net/shutterstock/videos/13006244/thumb/1.jpg	1	0	0	0	0	0	0	0	0	0	
concept art for person from animation film , i like her like this. :)	https://i.pinimg.com/736x/ab/29/7a/ab297a590b26c8f57e67ef86dd2713c1--disney-love-disney-magic.jpg	1	1	0	0	0	0	0	0	0	0	
doll house - i really want to build this for my little sister for western christian holiday	https://s-media-cache-ak0.pinimg.com/736x/a0/c0/28/a0c028379e68f48ca19e708ec19538ab.jpg	0	0	0	1	0	0	0	0	0	0	
a close up of the sculpture by people situated	http://l7.alamy.com/zooms/cdf22aff7f8f47b1aef89956b2223a9d/a-close-up-of-the-marble-eye-sculpture-by-anne-and-patrick-poirier-e799k5.jpg	1	0	0	1	0	0	0	0	0	0	
file - in this file photo , football coach leads his team onto the field for a college football game against us state .	https://www.gannett-cdn.com/-mm-/7bf44e4e38da5e1a33c9fe66fa47b6b14209c7ab/c=0-4-3725-2798&r=x404&c=534x401/local/-/media/2017/11/17/USATODAY/usatsports/6d43af6172c74dc080bf877c654b3bf3.jpg	1	0	0	0	1	0	0	0	0	0	
sand sculpture of the movie	http://l7.alamy.com/zooms/48f11e90b1af4402b97599468c422aa1/sand-sculpture-of-the-movie-the-matrix-g138d1.jpg	1	0	0	0	0	0	0	0	0	0	
silly pictures of cats image silly cat who thinks he is a mouse	http://www.tridanim.com/thumbnail/s/silly-pictures-of-cats-image-silly-cat-who-thinks-he-is-a-mouse-13.jpeg	0	0	0	0	0	1	0	0	0	0	
no such thing as too many pillows or plants !	https://i.pinimg.com/736x/70/6a/c5/706ac5dae350a0e1df6dc9ec355414bd--bohemian-style-furniture-bohemian-style-apartment.jpg	0	1	0	0	0	0	0	0	0	0	
profession uses a thermal image camera at the scene of a fire	http://l7.alamy.com/zooms/0058c8563cb846f2b15aa1e602d120bc/fireman-uses-a-thermal-image-camera-at-the-scene-of-a-fire-c4kr46.jpg	0	0	0	1	0	0	0	0	0	0	
cabin in the woods now this is cabin i would visit ...	http://78.media.tumblr.com/8316b4daf614f966815e44695e9785cb/tumblr_ojzf0s4Ipf1qkegsbo1_1280.jpg	0	1	0	0	0	0	0	0	0	0	
add your unique touch by replacing the traditional clear glass sliding door with a customized printed glass .	https://i.pinimg.com/736x/0c/07/61/0c07610ba21cb863fbee9203fdcc46b4--sliding-glass-door-modern-sliding-doors.jpg	0	1	0	1	0	0	0	0	0	0	
football players compete for the ball	https://media.gettyimages.com/photos/charlton-athletics-paul-hayes-and-carlisle-uniteds-lubomir-michalik-picture-id677597606?s=612x612	1	0	1	0	0	0	0	0	0	0	
happy young woman in a fashionable flutter transparent cape	https://media.istockphoto.com/photos/happy-young-woman-in-a-fashionable-flutter-transparent-cape-picture-id186194278?k=6&m=186194278&s=612x612&w=0&h=wLH-MJKP9AUH8XZPcCB07dhinMMJw5fogQJkx2MHLYE=	1	1	0	0	0	0	0	0	0	0	
the walking & bike path in early june	https://media-cdn.tripadvisor.com/media/photo-s/05/bc/a0/98/presque-isle-state-park.jpg	0	0	0	1	0	0	0	0	0	0	
artist has numerous tattoos on his arms and torso , but perhaps one of the largest is the eagle that spans across his chest .	https://media1.popsugar-assets.com/files/thumbor/x0TX2f6RxaBeevqspWQlHGTEoH8/fit-in/1024x1024/filters:format_auto-!!-:strip_icc-!!-/2012/05/18/2/192/1922398/b5eec672e84bb471_adamlevine/i/Adam-Levine-has-numerous-tattoos-his-arms-torso-perhaps.jpg	1	0	0	0	0	0	0	0	0	0	
